sample_id,date,month,year,cumulative_hours,monthly_operating_hours,ambient_temp_c,humidity_percent,precipitation_mm_24hr,wind_speed_kph,driver_experience_years,was_regular_maintenance_followed,engine_temp_c,fuel_efficiency_l_hr,engine_vibration_g,oil_pressure_psi,transmission_temp_c,transmission_vibration_g,transmission_fluid_level_percent,hydraulic_pressure_psi,hydraulic_fluid_temp_c,hydraulic_fluid_level_percent,battery_voltage_v,alternator_current_a,electrical_resistance_ohm,tire_pressure_psi,tire_vibration_g,fuel_pressure_psi,coolant_temp_c,coolant_level_percent,brake_temp_c,brake_fluid_pressure_psi,steering_effort_n,exhaust_temp_c,emissions_co2_ppm,failure_imminent,failure_occurred,type_of_failure,remaining_useful_life_hours
0,2015-07-01,7,2015,104.54,104.54,25.8,59.0,0.6,11.5,3,1,99.44,23.91,0.65,39.7,81.01,1.8,99.92,2311.11,68.9,93.53,12.49,35.72,0.37,22.94,0.3,56.69,89.38,95.53,67.22,1136.3,86.55,285.58,577.25,0,0,4,7546.46
0,2015-07-31,7,2015,237.46,132.92,28.0,61.0,0.0,8.3,27,1,88.25,25.24,1.54,57.04,79.68,1.42,95.6,2013.77,72.69,92.19,13.26,15.25,0.96,15.07,0.33,52.87,89.86,95.89,66.89,1447.57,134.11,219.65,522.33,0,0,4,7413.54
0,2015-08-30,8,2015,359.24,121.78,27.2,70.0,0.0,10.4,1,1,96.76,11.85,1.74,57.85,75.46,1.01,92.07,2296.11,78.06,99.46,14.12,43.7,0.79,20.01,1.17,49.53,85.91,99.43,52.02,1321.17,111.45,338.82,397.28,0,0,4,7291.76
0,2015-09-29,9,2015,646.46,287.22,14.0,83.0,0.0,14.1,5,1,90.48,20.64,0.57,41.51,89.1,1.76,92.97,2752.02,71.03,93.7,13.73,11.42,0.21,21.93,1.32,64.82,86.05,99.6,73.74,1167.24,78.97,382.01,563.29,0,0,4,7004.54
0,2015-10-29,10,2015,907.0,260.54,15.7,81.0,0.0,12.3,6,1,91.99,22.64,1.53,51.83,89.57,1.39,97.86,2749.93,78.28,99.06,13.45,24.32,0.46,15.16,0.39,48.73,89.54,98.17,78.85,1470.04,63.32,391.44,508.44,0,0,4,6744.0
0,2015-11-28,11,2015,1046.83,139.84,14.8,76.0,0.0,21.5,16,1,88.44,12.0,0.77,44.14,79.41,1.08,96.43,2488.7,69.5,96.71,14.48,40.88,0.79,17.83,1.32,61.73,88.53,99.06,50.9,1340.94,142.51,215.57,329.88,0,0,4,6604.17
0,2015-12-28,12,2015,1065.18,18.35,-6.6,79.0,0.0,18.8,9,1,91.89,9.56,1.56,43.18,87.95,0.59,96.42,2369.82,66.44,92.42,13.42,21.71,0.23,16.39,1.29,53.65,86.16,98.03,52.99,1195.69,121.1,217.13,549.34,0,0,4,6585.82
0,2016-01-27,1,2016,1073.68,8.5,-4.1,84.0,2.1,25.4,6,1,83.42,12.14,1.75,50.62,89.29,1.13,90.28,2567.67,67.83,91.7,13.22,27.4,0.49,22.39,0.88,53.15,94.36,98.71,73.72,1287.16,127.38,317.34,370.45,0,0,4,6577.32
0,2016-02-26,2,2016,1083.0,9.32,-5.8,78.0,0.5,11.1,9,0,90.58,20.39,1.86,45.43,84.74,0.44,91.84,2510.39,70.32,91.13,13.64,48.23,0.47,23.36,0.73,55.0,91.33,97.19,74.84,1202.7,91.42,253.43,456.25,0,0,4,6568.0
0,2016-03-27,3,2016,1183.37,100.36,5.3,79.0,0.0,17.0,4,0,94.65,17.04,1.17,48.04,88.78,0.76,90.24,2985.05,79.45,97.86,13.66,48.82,0.51,22.82,1.0,54.93,94.13,96.54,55.16,1078.05,100.4,332.79,336.41,0,0,4,6467.63
0,2016-04-26,4,2016,1402.55,219.18,12.7,74.0,3.2,24.6,8,1,85.77,22.23,1.58,41.71,77.5,0.8,98.01,2811.44,78.86,98.49,13.7,9.8,0.67,16.1,1.27,63.58,90.72,97.16,77.8,1319.94,126.6,201.49,409.21,0,0,4,6248.45
0,2016-05-26,5,2016,1675.52,272.97,9.7,71.0,0.2,22.6,22,1,81.02,23.36,0.6,40.07,71.49,1.12,95.01,2104.54,63.38,93.54,13.7,44.94,0.16,23.77,0.31,47.36,92.7,97.01,50.84,1377.44,61.61,293.58,579.05,0,0,4,5975.48
0,2016-06-25,6,2016,1756.32,80.8,24.8,51.0,0.0,15.7,30,1,99.51,18.69,0.71,55.35,74.93,1.3,95.85,2459.36,67.49,95.52,13.56,24.16,0.56,19.76,0.61,64.65,93.49,95.66,80.6,1434.4,99.74,219.44,394.18,0,0,4,5894.68
0,2016-07-25,7,2016,1845.78,89.46,21.6,58.0,0.0,11.4,8,1,82.92,17.44,1.32,44.09,90.78,1.03,97.84,2668.03,75.89,94.51,12.54,46.3,0.72,22.41,1.02,63.96,86.93,95.7,68.04,1109.17,129.62,206.44,350.75,0,0,4,5805.22
0,2016-08-24,8,2016,1945.14,99.36,21.2,62.0,0.0,18.1,20,1,97.1,21.26,1.28,40.88,88.58,0.64,97.06,2963.88,62.9,93.37,13.49,23.87,0.49,18.06,0.54,56.49,92.27,99.26,50.37,1216.41,58.21,208.28,321.98,0,0,4,5705.86
0,2016-09-23,9,2016,2222.99,277.85,12.5,78.0,0.0,22.6,5,1,81.61,13.77,1.3,56.65,75.89,1.01,96.41,2743.27,66.6,97.08,14.36,42.53,0.67,20.29,1.12,59.37,91.13,97.23,53.63,1508.04,107.11,280.54,368.59,0,0,4,5428.01
0,2016-10-23,10,2016,2581.01,358.02,10.1,70.0,1.1,16.3,6,1,93.75,16.17,0.59,51.91,82.19,1.36,91.01,2358.53,68.1,99.21,13.05,13.95,0.2,17.19,1.51,54.66,90.09,97.26,63.53,1338.61,64.79,296.15,479.57,0,0,4,5069.99
0,2016-11-22,11,2016,2691.85,110.83,21.7,76.0,1.5,16.3,12,1,86.14,19.75,1.89,42.53,83.7,1.6,98.92,2973.02,72.5,91.27,13.44,24.17,0.55,20.33,1.35,52.05,88.47,97.32,52.43,1319.76,117.38,287.92,324.95,0,0,4,4959.15
0,2016-12-22,12,2016,2737.51,45.67,-7.9,86.0,0.0,15.1,30,1,87.41,25.33,0.67,58.02,78.27,0.51,90.56,2659.48,70.86,93.71,14.55,31.48,0.78,22.47,1.11,46.15,93.77,95.88,66.69,1183.01,149.4,239.0,577.08,0,0,4,4913.49
0,2017-01-21,1,2017,2751.1,13.59,-6.9,74.0,0.0,27.6,24,1,90.54,23.82,1.97,41.51,74.71,1.39,95.57,2255.91,75.07,95.65,13.65,44.25,0.2,19.87,0.93,46.46,87.13,95.77,55.2,1068.57,127.96,368.36,509.92,0,0,4,4899.9
0,2017-02-20,2,2017,2768.93,17.83,-9.5,87.0,0.0,22.4,20,1,86.28,21.44,1.53,41.36,84.68,1.3,96.14,2820.44,68.62,93.28,13.46,39.24,0.7,20.29,1.1,49.05,94.75,98.58,80.15,1058.34,104.53,333.01,554.33,0,0,4,4882.07
0,2017-03-22,3,2017,2819.56,50.63,7.3,78.0,0.0,15.0,3,1,83.48,12.22,0.58,53.17,84.88,1.42,97.1,2747.26,79.68,95.27,14.2,48.44,0.84,19.51,0.6,50.01,86.6,95.41,66.44,1162.01,56.58,371.46,548.68,0,0,4,4831.44
0,2017-04-21,4,2017,3139.72,320.16,17.2,63.0,1.0,21.6,2,1,84.33,22.53,1.92,45.86,88.02,1.48,95.08,2787.51,63.12,97.7,13.29,13.81,0.38,17.62,1.25,53.65,90.82,97.68,57.74,1422.56,66.22,381.42,579.86,0,0,4,4511.28
0,2017-05-21,5,2017,3345.1,205.38,13.0,74.0,4.7,16.9,30,0,94.89,11.86,1.16,51.4,81.84,0.93,91.69,2313.71,62.46,91.37,13.02,48.16,0.68,19.25,0.84,47.9,90.66,96.75,70.05,1283.71,100.8,292.07,476.61,0,0,4,4305.9
